iter	Passed	Remaining
0	30	9217
1	57	8588
2	85	8489
3	105	7841
4	126	7444
5	143	7038
6	162	6819
7	182	6651
8	203	6586
9	228	6626
10	255	6701
11	280	6723
12	304	6724
13	326	6661
14	351	6686
15	378	6709
16	398	6640
17	419	6569
18	440	6511
19	461	6455
20	480	6383
21	500	6324
22	518	6247
23	534	6152
24	550	6055
25	565	5957
26	580	5871
27	595	5785
28	611	5714
29	626	5641
30	640	5562
31	656	5499
32	671	5436
33	687	5379
34	704	5332
35	719	5278
36	735	5227
37	751	5181
38	767	5135
39	782	5084
40	797	5035
41	811	4986
42	825	4936
43	842	4899
44	857	4856
45	871	4813
46	887	4775
47	903	4745
48	918	4707
49	934	4674
50	951	4643
51	967	4614
52	985	4593
53	1004	4578
54	1053	4691
55	1077	4694
56	1101	4696
57	1123	4686
58	1150	4699
59	1172	4690
60	1194	4680
61	1214	4661
62	1231	4633
63	1247	4601
64	1265	4574
65	1282	4548
66	1302	4528
67	1318	4499
68	1335	4469
69	1350	4436
70	1367	4410
71	1383	4381
72	1399	4352
73	1421	4340
74	1437	4311
75	1456	4291
76	1476	4276
77	1497	4261
78	1519	4250
79	1537	4229
80	1558	4212
81	1578	4195
82	1596	4174
83	1619	4165
84	1639	4147
85	1655	4120
86	1673	4096
87	1689	4070
88	1709	4053
89	1728	4032
90	1744	4006
91	1762	3984
92	1781	3965
93	1797	3938
94	1818	3923
95	1838	3907
96	1855	3883
97	1874	3863
98	1893	3844
99	1913	3827
100	1930	3803
101	1948	3781
102	1967	3763
103	1986	3743
104	2009	3731
105	2028	3712
106	2044	3687
107	2062	3666
108	2080	3646
109	2099	3627
110	2118	3607
111	2138	3590
112	2156	3569
113	2173	3545
114	2189	3522
115	2206	3500
116	2223	3477
117	2238	3452
118	2253	3427
119	2269	3404
120	2285	3381
121	2301	3358
122	2318	3335
123	2334	3313
124	2349	3289
125	2364	3265
126	2380	3242
127	2395	3219
128	2411	3196
129	2426	3172
130	2443	3151
131	2458	3128
132	2474	3106
133	2492	3087
134	2507	3065
135	2524	3043
136	2539	3021
137	2555	2999
138	2572	2979
139	2591	2961
140	2608	2941
141	2629	2925
142	2651	2910
143	2669	2891
144	2688	2874
145	2706	2854
146	2722	2833
147	2744	2818
148	2762	2799
149	2779	2779
150	2800	2763
151	2817	2743
152	2835	2724
153	2852	2703
154	2870	2685
155	2888	2666
156	2907	2648
157	2924	2628
158	2941	2608
159	2957	2588
160	2982	2575
161	3001	2557
162	3017	2536
163	3033	2515
164	3047	2493
165	3062	2472
166	3079	2452
167	3095	2432
168	3114	2413
169	3130	2394
170	3148	2375
171	3164	2355
172	3182	2336
173	3199	2317
174	3217	2298
175	3237	2280
176	3256	2262
177	3276	2246
178	3296	2228
179	3314	2209
180	3334	2192
181	3351	2173
182	3370	2155
183	3387	2135
184	3406	2117
185	3422	2097
186	3440	2079
187	3457	2059
188	3474	2040
189	3493	2022
190	3510	2003
191	3526	1983
192	3541	1963
193	3557	1943
194	3572	1923
195	3588	1904
196	3604	1884
197	3619	1864
198	3635	1845
199	3649	1824
200	3665	1805
201	3681	1785
202	3697	1766
203	3713	1747
204	3727	1727
205	3743	1708
206	3760	1689
207	3775	1670
208	3790	1650
209	3807	1631
210	3823	1612
211	3839	1593
212	3856	1575
213	3875	1557
214	3894	1539
215	3912	1521
216	3929	1503
217	3947	1484
218	3966	1467
219	3987	1450
220	4007	1432
221	4032	1416
222	4051	1399
223	4071	1381
224	4096	1365
225	4118	1348
226	4137	1330
227	4162	1314
228	4184	1297
229	4206	1280
230	4225	1262
231	4244	1244
232	4265	1226
233	4289	1209
234	4310	1192
235	4346	1178
236	4373	1162
237	4392	1144
238	4411	1126
239	4430	1107
240	4450	1089
241	4469	1071
242	4489	1052
243	4507	1034
244	4527	1016
245	4547	998
246	4565	979
247	4586	961
248	4604	943
249	4623	924
250	4642	906
251	4664	888
252	4680	869
253	4697	850
254	4712	831
255	4727	812
256	4743	793
257	4761	775
258	4777	756
259	4793	737
260	4809	718
261	4824	699
262	4842	681
263	4858	662
264	4875	643
265	4893	625
266	4909	606
267	4925	588
268	4939	569
269	4956	550
270	4973	532
271	4991	513
272	5006	495
273	5022	476
274	5039	458
275	5057	439
276	5074	421
277	5091	402
278	5109	384
279	5127	366
280	5146	347
281	5165	329
282	5184	311
283	5203	293
284	5227	275
285	5247	256
286	5266	238
287	5288	220
288	5308	202
289	5329	183
290	5351	165
291	5371	147
292	5393	128
293	5411	110
294	5431	92
295	5452	73
296	5469	55
297	5486	36
298	5502	18
299	5520	0
